,0
שֶׁאֲפִלּוּ,שאפילו
מַלְאַךְ,מלאך
הַמָּוֶת,המות
הָיָה,היה
לִשְׁלֹט,לשלוט
בּוֹ,בו
וְאֵיךְ,ואיך
לִטְעוֹת,לטעות
בְּמֶחֱצָה,במחצה
וְעוֹד,ועוד
שֶׁהֲרֵי,שהרי
בְּשָׁעָה,בשעה
שֶׁעוֹשֶׂה,שעושה
נִקְרָא,נקרא
אַחַר,אחר
כָּךְ,כך
עָשָׂה,עשה
תְּשׁוּבָה,תשובה
וַאֲפִלּוּ,ואפילו
הָעוֹבֵר,העובר
עַל,על
אִסּוּר,איסור
קַל,קל
דִּבְרֵי,דברי
סוֹפְרִים,סופרים
מִקְּרֵי,מקרי
כִּדְאִיתָא,כדאיתא
בְּפֶרֶק,בפרק
דִּיבָמוֹת,דיבמות
וּבְפֶרֶק,ובפרק
קַמָּא,קמא
דְּנִדָּה,דנדה
מִי,מי
שֶׁיֵּשׁ,שיש
בְּיָדוֹ,בידו
לִמְחוֹת,למחות
מוֹחֶה,מיחה
דִּשְׁבוּעוֹת,דשבועות
וְכָל,וכל
שֶׁכֵּן,שכן
וְקַל,וקל
וָחֹמֶר,וחומר
בִּמְבַטֵּל,במבטל
אֵיזוֹ,איזו
מִצְוַת,מצות
עֲשֵׂה,עשה
שֶׁאֶפְשָׁר,שאפשר
לְקַיְּמָהּ,לקיימה
כְּמוֹ,כמו
לַעֲסֹק,לעסוק
בַּתּוֹרָה,בתורה
וְאֵינוֹ,ואינו
עוֹסֵק,עוסק
שֶׁעָלָיו,שעליו
דָּרְשׁוּ,דרשו
"""כִּי","""כי"
דְּבַר,דבר
בָּזָה,בזה
וגו',וגו'
הִכָּרֵת,הכרת
וּפְשִׁיטָא,ופשיטא
דְּמִקְּרֵי,דמקרי
טְפֵי,טפי
מֵעוֹבֵר,מעובר
דְּרַבָּנָן,דרבנן
אֵין,אין
אֲפִלּוּ,אפילו
עֲוֹן,עוון
בִּטּוּל,ביטול
תּוֹרָה,תורה
וּמִשּׁוּם,ומשום
הָכִי,הכי
הגהה,הגהה
וּמַה,ומה
שֶּׁכָּתַב,שכתב
בַּזֹּהַר,בזהר
חֵלֶק,חלק
ג',ג'
דַּף,דף
"רל""א","רל""א"
שֶׁמְּמֻעָטִין,שממועטין
עֲוֹנוֹתָיו,עוונותיו
הִיא,היא
שְׁאֵלַת,שאלת
רַב,רב
הַמְנוּנָא,המנונא
לְאֵלִיָּהוּ,לאליהו
אֲבָל,אבל
לְפִי,לפי
תְּשׁוּבַת,תשובת
אֵלִיָּהוּ,אליהו
שָׁם,שם
פֵּרוּשׁ,פירוש
הוּא,הוא
בְּרַעְיָא,ברעיא
פָּרָשָׁה,פרשה
דִּלְעֵיל,דלעיל
וְשִׁבְעִים,ושבעים
פָּנִים,פנים
לַתּוֹרָה,לתורה
דְּאָמְרִינַן,דאמרינן
בְּעָלְמָא,בעלמא
דְּמֶחֱצָה,דמחצה
וְרֹב,ורוב
שֵׁם,שם
הַמֻּשְׁאָל,המושאל
לְעִנְיַן,לענין
שָׂכָר,שכר
וָעֹנֶשׁ,ועונש
שֶׁנִּדּוֹן,שנדון
רֻבּוֹ,רובו
וּמִקְּרֵי,ומקרי
בְּדִינוֹ,בדינו
מֵאַחַר,מאחר
שֶׁזּוֹכֶה,שזוכה
בַּדִּין,בדין
אֲמִתַּת,אמיתת
הַתֹּאַר,התואר
וְהַמַּעֲלָה,והמעלה
מַעֲלַת,מעלת
וּמַדְרֵגוֹת,ומדרגות
חֲלוּקוֹת,חלוקות
וּבֵינוֹנִים,ובינונים
אָמְרוּ,אמרו
שֶׁנֶּאֱמַר,שנאמר
"""וְלִבִּי","""ולבי"
חָלָל,חלל
"בְּקִרְבִּי""","בקרבי"""
שֶׁאֵין,שאין
הֲרָגוֹ,הרגו
בְּתַעֲנִית,בתענית
שֶׁלֹּא,שלא
הִגִּיעַ,הגיע
לְמַדְרֵגָה,למדרגה
זוֹ,זו
אַף,אף
שֶׁזְּכֻיּוֹתָיו,שזכויותיו
מְרֻבִּים,מרובים
בְּמַעֲלַת,במעלת
וּמַדְרֵגַת,ומדרגת
וְלָכֵן,ולכן
בַּמִּדְרָשׁ,במדרש
הַקָּדוֹשׁ,הקדוש
בָּרוּךְ,ברוך
בַּצַּדִּיקִים,בצדיקים
שֶׁהֵם,שהם
מֻעָטִים,מועטים
עָמַד,עמד
וּשְׁתָלָן,ושתלן
בְּכָל,בכל
דּוֹר,דור
וָדוֹר,ודור
וּכְמוֹ,וכמו
שֶׁכָּתוּב,שכתוב
"""וְצַדִּיק","""וצדיק"
יְסוֹד,יסוד
"עוֹלָם""","עולם"""
בֵּאוּר,ביאור
פִּי,פי
הָרַב,הרב
חַיִּים,חיים
בְּשַׁעֲרֵי,בשער
הַקְּדֻשָּׁה,הקדושה
וּבְעֵץ,ובעץ
שַׁעַר,שער
נ,נ
ב,ב
דִּלְכָל,דלכל
אִישׁ,איש
יִשְׂרָאֵל,ישראל
אֶחָד,אחד
וְאֶחָד,ואחד
יֵשׁ,יש
שְׁתֵּי,שתי
נְשָׁמוֹת,נשמות
וּכְדִכְתִיב,וכדכתיב
"""וּנְשָׁמוֹת","""ונשמות"
אֲנִי,אני
"עָשִׂיתִי""","עשיתי"""
שֶׁהֵן,שהן
נְפָשׁוֹת,נפשות
נֶפֶשׁ,נפש
אַחַת,אחת
מִצַּד,מצד
הַקְּלִפָּה,הקליפה
וְסִטְרָא,וסטרא
אַחֲרָא,אחרא
וְהִיא,והיא
הַמִּתְלַבֶּשֶׁת,המתלבשת
בְּדַם,בדם
הָאָדָם,האדם
לְהַחֲיוֹת,להחיות
הַגּוּף,הגוף
הַבָּשָׂר,הבשר
בַּדָּם,בדם
"הִיא""","היא"""
וּמִמֶּנָּה,וממנה
בָּאוֹת,באות
הַמִּדּוֹת,המדות
רָעוֹת,רעות
מֵאַרְבַּע,מארבע
יְסוֹדוֹת,יסודות
רָעִים,רעים
שֶׁבָּהּ,שבה
דְּהַיְנוּ,דהיינו
כַּעַס,כעס
וְגַאֲוָה,וגאוה
מִיְּסוֹד,מיסוד
הָאֵשׁ,האש
שֶׁנִּגְבַּהּ,שנגבה
לְמַעְלָה,למעלה
וְתַאֲוַת,ותאות
הַתַּעֲנוּגִים,התענוגים
הַמַּיִם,המים
מַצְמִיחִים,מצמיחים
מִינֵי,מיני
תַּעֲנוּג,תענוג
וְהוֹלְלוּת,והוללות
וְלֵיצָנוּת,וליצנות
וְהִתְפָּאֲרוּת,והתפארות
וּדְבָרִים,ודברים
בְּטֵלִים,בטלים
הָרוּחַ,הרוח
וְעַצְלוּת,ועצלות
וְעַצְבוּת,ועצבות
הֶעָפָר,העפר
מִדּוֹת,מדות
טוֹבוֹת,טובות
שֶׁבְּטֶבַע,שבטבע
בְּתוֹלְדוֹתָם,בתולדותם
רַחֲמָנוּת,רחמנות
וּגְמִילוּת,וגמילות
חֲסָדִים,חסדים
מִמֶּנָּה,ממנה
בְּיִשְׂרָאֵל,בישראל
דִּקְלִפָּה,דקליפה
מִקְּלִפַּת,מקליפת
נֹגַהּ,נוגה
בָּהּ,בה
גַּם,גם
מִסּוֹד,מסוד
עֵץ,עץ
הַדַּעַת,הדעת
וָרָע,ורע
שֶּׁאֵין,שאין
נַפְשׁוֹת,נפשות
אֻמּוֹת,אומות
הָעוֹלָם,העולם
הֵן,הן
מִשְּׁאָר,משאר
קְלִפּוֹת,קליפות
טְמֵאוֹת,טמאות
בָּהֶן,בהן
שֶׁכָּתַב,שכתוב
בְּעֵץ,בעץ
טִיבוּ,טיבו
דְּעָבְדִין,דעבדין
הָאֻמּוֹת,האומות
לְגַרְמַיְהוּ,לגרמייהו
עָבְדִין,עבדין
וְכִדְאִיתָא,וכדאיתא
פָּסוּק,פסוק
"""וְחֶסֶד","""וחסד"
לְאֻמִּים,לאומים
"חַטָּאת""","חטאת"""
שֶׁכָּל,שכל
צְדָקָה,צדקה
וָחֶסֶד,וחסד
שֶׁאֻמּוֹת,שאומות
עוֹשִׂין,עושין
אֵינָן,אינן
אֶלָּא,אלא
לְהִתְיַהֵר,להתייהר
